person,year,location,source_biography_page
Gwendolyn Midlo Hall,2010,Michigan State University,Gwendolyn Midlo Hall
Louise A. Tilly,1970,Michigan State University,Louise A. Tilly
Paul A. Varg,1958,Michigan State University,Paul A. Varg
William L. Van Deburg,1973,Michigan State University,William L. Van Deburg
William Chaney,1966,the Bodleian Library,William Chaney
Bonnie Costello,1972,Bennington College,Bonnie Costello
Ian Eaves,1510,the Metropolitan Museum of Art,Ian Eaves
Ian Eaves,1981,the Metropolitan Museum of Art,Ian Eaves
Dick Kimber,1939,Freeling,Dick Kimber
Dick Kimber,2001,Central Australia,Dick Kimber
Nora Bustamante Luciani,1924,Maracaibo,Nora Bustamante Luciani
Nora Bustamante Luciani,1948,Maracaibo,Nora Bustamante Luciani
Elías Pino Iturrieta,1944,Maracaibo,Elías Pino Iturrieta
Nora Bustamante Luciani,1946,Zulia,Nora Bustamante Luciani
Nelson Minnich,1965,Boston College,Nelson Minnich
Per Beskow,1968,Boston College,Per Beskow
Michael C. Keith,2017,Boston College,Michael C. Keith
Radu Florescu,1925,Boston College,Radu Florescu
Marian Kamil Dziewanowski,1954,Boston College,Marian Kamil Dziewanowski
Nelson Minnich,1977,The Catholic University of America,Nelson Minnich
Brian Tierney (medievalist),1959,The Catholic University of America,Brian Tierney (medievalist)
Durand Echeverria,1931,South Kent School,Durand Echeverria
Durand Echeverria,1980,Wellfleet,Durand Echeverria
Daniel Francis (historian),1987,the West Coast,Daniel Francis (historian)
Eifion Evans (church historian),2017,Gorslas,Eifion Evans (church historian)
Peter Smith (historian),1968,Acre,Peter Smith (historian)
Paul-Louis Huvelin,1919,Syria,Paul-Louis Huvelin
Johann Nepomuk Sepp,1845,Syria,Johann Nepomuk Sepp
Daniel Cordier,2020,Cannes,Daniel Cordier
Francis Winthrop Palfrey,1889,Cannes,Francis Winthrop Palfrey
Ann Twinam,1968,Northern Illinois University,Ann Twinam
William Beik,2007,Northern Illinois University,William Beik
Albert Resis,1964,Northern Illinois University,Albert Resis
David Roediger,1975,Northern Illinois University,David Roediger
Gregg Andrews,1988,Northern Illinois University,Gregg Andrews
Larry Portis,1970,Northern Illinois University,Larry Portis
Melvyn Dubofsky,1959,Northern Illinois University,Melvyn Dubofsky
Richard Schneirov,1975,Northern Illinois University,Richard Schneirov
Clarence C. Clendenen,1977,Alhambra,Clarence C. Clendenen
Robert Howard Hodgkin,1890,Chollerton,Robert Howard Hodgkin
Robert Howard Hodgkin,1934,Cornwall,Robert Howard Hodgkin
Marie Goebel Kimball,1889,Hackensack,Marie Goebel Kimball
Margherita Marchione,1935,Hackensack,Margherita Marchione
David Williams (philosopher),1858,Cavendish Square,David Williams (philosopher)
Dennis P. Hupchick,1948,Monongahela,Dennis P. Hupchick
Desmond Morton (historian),1937,Calgary,Desmond Morton (historian)
George Stanley,1907,Calgary,George Stanley
Anthony Parel,1966,Calgary,Anthony Parel
Hugh Dempsey,2022,Calgary,Hugh Dempsey
Maureen Ursenbach Beecher,1935,Calgary,Maureen Ursenbach Beecher
Stephen Randall (political scientist),2011,Calgary,Stephen Randall (political scientist)
William Barr (historian),1940,Calgary,William Barr (historian)
Desmond Morton (historian),1986,Erindale College,Desmond Morton (historian)
Doane Robinson,1946,Pierre,Doane Robinson
Roger Highfield (historian),1948,Merton College Oxford,Roger Highfield (historian)
Dominique Varry,1956,Belfort,Dominique Varry
Donald Creighton,1979,Brooklin,Donald Creighton
Warren Lewis,1913,Malvern,Warren Lewis
Warren Lewis,1963,Headington,Warren Lewis
Déodat Roché,1961,Montségur,Déodat Roché
Edward Jay Epstein,2017,New York Film Festival,Edward Jay Epstein
Edward Pelham Brenton,1774,Rhode Island,Edward Pelham Brenton
Thomas W. Bicknell,1869,Rhode Island,Thomas W. Bicknell
Edward Pelham Brenton,1803,Barfleur,Edward Pelham Brenton
Edward Pelham Brenton,1808,the North Sea,Edward Pelham Brenton
Oliver Furley,2015,Coventry University,Oliver Furley
Betty Kemp,1916,Bowdon,Betty Kemp
Betty Kemp,1978,St Hugh's College,Betty Kemp
Eric Foner,1959,Long Beach High School,Eric Foner
Nathaniel Crosby (captain),1810,Brewster,Nathaniel Crosby (captain)
Charles Green (archaeologist),1951,Caister,Charles Green (archaeologist)
Charles Green (archaeologist),1958,Shrewton,Charles Green (archaeologist)
Charles Green (archaeologist),1960,East Anglia,Charles Green (archaeologist)
Fabrice d'Almeida,1963,Ajaccio,Fabrice d'Almeida
Ange-Marie Filippi-Codaccioni,1953,Ajaccio,Ange-Marie Filippi-Codaccioni
Ange-Marie Filippi-Codaccioni,1965,Ajaccio,Ange-Marie Filippi-Codaccioni
Ange-Marie Filippi-Codaccioni,2018,Ajaccio,Ange-Marie Filippi-Codaccioni
Faiz Muhammad Kateb,1888,Jalalabad,Faiz Muhammad Kateb
Fannie Hardy Eckstorm,1883,Bangor High School,Fannie Hardy Eckstorm
Fernand Ouellet,1926,Quebec,Fernand Ouellet
Michel Brunet (historian),1917,Quebec,Michel Brunet (historian)
Christopher Lloyd (naval historian),1934,Quebec,Christopher Lloyd (naval historian)
Daniel Woolf,1986,Quebec,Daniel Woolf
Fernand Ouellet,1965,Université Laval,Fernand Ouellet
Fernand Ouellet,1986,Université Laval,Fernand Ouellet
George Stanley,1965,Université Laval,George Stanley
Marcel Trudel,1941,Université Laval,Marcel Trudel
Richard Holmes (military historian),1975,Walthamstow,Richard Holmes (military historian)
Francisco del Paso y Troncoso,1842,Veracruz,Francisco del Paso y Troncoso
Srinath Raghavan,1997,Hyderabad,Srinath Raghavan
Zubaida Yazdani,1916,Hyderabad,Zubaida Yazdani
Srinath Raghavan,2003,Inlaks,Srinath Raghavan
François Bédarida,1926,Lyons,François Bédarida
Abraham Schalit,1898,Zolochiv,Abraham Schalit
Ronald Hutton,1953,Ootacamund,Ronald Hutton
Michel Baudier,1589,Languedoc,Michel Baudier
Gabriel-Henri Gaillard,1806,Chantilly,Gabriel-Henri Gaillard
Pierre Renouvin,1918,Lycée d’Orleans,Pierre Renouvin
Gaétan Gervais,1944,Sudbury,Gaétan Gervais
Gaétan Gervais,1972,Laurentian University,Gaétan Gervais
Janko Prunk,1972,University of Ljubljana,Janko Prunk
George Stanley,1948,the Fraser Valley,George Stanley
George Stanley,2002,Sackville,George Stanley
George Stanley,2018,Sackville,George Stanley
Stanisław Bóbr-Tylingo,2001,Sackville,Stanisław Bóbr-Tylingo
George Stanley,1986,Edinburgh Castle,George Stanley
Georges Azéma,1864,Réunion,Georges Azéma
Gerald L. Geison,1970,Yale University's,Gerald L. Geison
Will Bagley,2000,Yale University's,Will Bagley
Giacomo Bosio,1544,Chivasso,Giacomo Bosio
Robert O. Collins,1933,Waukegan,Robert O. Collins
Jules Michelet,1874,Hyères,Jules Michelet
Gordon Wright (historian),1959,University of Washington,Gordon Wright (historian)
Gordon Wright (historian),1912,Lynden,Gordon Wright (historian)
Herbert Southworth,1999,Indre,Herbert Southworth
Gregorio Mayans,1699,Oliva,Gregorio Mayans
Gregorio Mayans,1713,Oliva,Gregorio Mayans
Michael Ignatieff,2021,Central European University,Michael Ignatieff
Michael Ignatieff,2013,the Harvard Kennedy School,Michael Ignatieff
Pierpaolo Barbieri,2011,the Harvard Kennedy School,Pierpaolo Barbieri
"John Dalberg-Acton, 1st Baron Acton",1869,Aldenham,"John Dalberg-Acton, 1st Baron Acton"
"John Dalberg-Acton, 1st Baron Acton",1901,Tegernsee,"John Dalberg-Acton, 1st Baron Acton"
Gustave Bloch,1872,Fegersheim,Gustave Bloch
Ibram X. Kendi,1997,Manassas,Ibram X. Kendi
Ibram X. Kendi,2012,SUNY,Ibram X. Kendi
Guy Autret de Missirien,1660,Goulien,Guy Autret de Missirien
Guy Frégault,1944,Université de Montréal,Guy Frégault
Guy Frégault,1959,the University of Montreal,Guy Frégault
Gérard Bouchard,1943,Jonquière,Gérard Bouchard
Ian Kershaw,1943,Oldham,Ian Kershaw
Bryan Clough,1932,Oldham,Bryan Clough
David Eastwood,1959,Oldham,David Eastwood
Olwen Hufton,1938,Oldham,Olwen Hufton
Habib Tawa,1945,Tripoli,Habib Tawa
Oric Bates,1909,Tripoli,Oric Bates
Htin Aung,1946,Rangoon University,Htin Aung
Heikki Kirkinen,1927,Joensuu,Heikki Kirkinen
Henri Fazy,1842,Berne,Henri Fazy
Henri Moysset,1875,Gramond,Henri Moysset
Henri Sauval,1623,Parlement,Henri Sauval
Henri Welschinger,1846,Muttersholtz,Henri Welschinger
Henri Welschinger,1919,Viroflay,Henri Welschinger
Henry Snyder,1963,KU,Henry Snyder
Herman Van der Wee,1928,Lier,Herman Van der Wee
Nicolae Iorga,1886,Botoșani,Nicolae Iorga
Nicolae Iorga,1893,the German Empire,Nicolae Iorga
Ludwig Riess,1902,the German Empire,Ludwig Riess
Nicolae Iorga,1894,Romania,Nicolae Iorga
Michael Harsgor,1946,Romania,Michael Harsgor
Piotr S. Wandycz,1940,Romania,Piotr S. Wandycz
György Bónis,1940,Romania,György Bónis
György Bónis,1947,Romania,György Bónis
Nicolae Iorga,1909,Bukovina,Nicolae Iorga
Nicolae Iorga,1910,the Old Kingdom's,Nicolae Iorga
Nicolae Iorga,1938,Vălenii de Munte,Nicolae Iorga
Hippolyte Fortoul,1811,Digne,Hippolyte Fortoul
Kan'ichi Asakawa,1873,Nihonmatsu,Kan'ichi Asakawa
Hugh Borton,1903,Moorestown Township,Hugh Borton
Hugh Borton,1995,Conway,Hugh Borton
Eben Moglen,2009,Seattle University,Eben Moglen
Henry Broderick (realtor),1948,Seattle University,Henry Broderick (realtor)
Manuel Artigas,1866,Tacloban,Manuel Artigas
Joseph Justus Scaliger,1540,Agen,Joseph Justus Scaliger
Isaac de Larrey,1638,Lintot,Isaac de Larrey
J. L. Granatstein,1996,York University,J. L. Granatstein
David F. Noble,1984,York University,David F. Noble
David F. Noble,2004,York University,David F. Noble
Irving Abella,1968,York University,Irving Abella
Jesse Thistle,2015,York University,Jesse Thistle
Craig Heron,1982,York University,Craig Heron
Craig Heron,2017,York University,Craig Heron
John Ridpath,1990,York University,John Ridpath
John Saywell,1999,York University,John Saywell
Norman Penner,1956,York University,Norman Penner
Michael Hans Kater,1967,York University,Michael Hans Kater
William D. Irvine,2021,York University,William D. Irvine
Jacques Adélaïde-Merlande,1933,Martinique,Jacques Adélaïde-Merlande
Sabine Andrivon-Milton,1970,Martinique,Sabine Andrivon-Milton
Jean-Baptiste Labat,1694,Martinique,Jean-Baptiste Labat
Jean-Baptiste Labat,1698,Martinique,Jean-Baptiste Labat
Jacques Berlioz (historian),1953,Chambéry,Jacques Berlioz (historian)
Madeleine Rebérioux,1920,Chambéry,Madeleine Rebérioux
Michel de Certeau,1925,Chambéry,Michel de Certeau
Jacques Longueval,1680,Péronne,Jacques Longueval
Jacques Stiennon,1948,Liège University,Jacques Stiennon
James Wright (historian),1950,Galena,James Wright (historian)
James Penton,1932,Lethbridge,James Penton
Ernest George Mardon,2016,Lethbridge,Ernest George Mardon
James S. Ackerman,1937,Carpinteria,James S. Ackerman
James S. Ackerman,1947,the Institute of Fine Arts,James S. Ackerman
Jan de Vos (historian),1973,Chiapas,Jan de Vos (historian)
Jean François Foppens,1704,Leuven University,Jean François Foppens
Jean-Noël Paquot,1722,Florennes,Jean-Noël Paquot
Jean Baubérot,1941,Châteauponsac,Jean Baubérot
Jean Fouchard,1912,ibidem,Jean Fouchard
Jean Guiraud,1866,Quillan,Jean Guiraud
Jean Guiraud,1892,Sens,Jean Guiraud
Jean Guiraud,1953,Yvelines,Jean Guiraud
Jean Lévesque de Burigny,1692,Reims,Jean Lévesque de Burigny
Michel Rouche,1996,Reims,Michel Rouche
Thierry Ruinart,1657,Reims,Thierry Ruinart
Thierry Ruinart,1674,Reims,Thierry Ruinart
Jean Suret-Canale,1938,Dahomey,Jean Suret-Canale
Jean Suret-Canale,1947,Dakar,Jean Suret-Canale
Jean Suret-Canale,2007,Gironde,Jean Suret-Canale
Jeanne Gaillard,1930,Guéret,Jeanne Gaillard
Jeanne Gaillard,1964,the Paris Nanterre University,Jeanne Gaillard
Suzanne Citron,1974,the Paris Nanterre University,Suzanne Citron
Jeanne Robert (historian),1910,Houplines,Jeanne Robert (historian)
Jean Bagnyon,1412,Croy,Jean Bagnyon
Manuel Tuñón de Lara,1997,Leioa,Manuel Tuñón de Lara
Joel Hayward,2005,Cranwell,Joel Hayward
Joel Hayward,2007,Cranwell,Joel Hayward
Joel Hayward,2012,Amman,Joel Hayward
"Sir John Dalrymple, 4th Baronet",1779,Oxenfoord,"Sir John Dalrymple, 4th Baronet"
John Henrik Clarke,1992,Pacific Western University,John Henrik Clarke
John Henrik Clarke,1998,St. Luke's Hospital,John Henrik Clarke
John Le Patourel,1909,Guernsey,John Le Patourel
John Le Patourel,1931,Guernsey,John Le Patourel
Ferdinand Brock Tupper,1795,Guernsey,Ferdinand Brock Tupper
James Parkes (priest),1896,Guernsey,James Parkes (priest)
Peter Brock (historian),1920,Guernsey,Peter Brock (historian)
Jonathan Z. Smith,1960,Haverford College,Jonathan Z. Smith
Otto Theodor Benfey,1988,Haverford College,Otto Theodor Benfey
Charles Coleman Sellers,1925,Haverford College,Charles Coleman Sellers
Christoph M. Kimmich,1961,Haverford College,Christoph M. Kimmich
Jack N. Rakove,1968,Haverford College,Jack N. Rakove
Matthew Levinger,1983,Haverford College,Matthew Levinger
Walter Kaegi,1959,Haverford College,Walter Kaegi
Josep Termes,1958,Barcelona University,Josep Termes
Joseph-Edmond Roy,1879,Lévis,Joseph-Edmond Roy
Joseph-Edmond Roy,1880,Lévis,Joseph-Edmond Roy
Joseph-Edmond Roy,1898,Lévis,Joseph-Edmond Roy
Joseph-Edmond Roy,1896,Bellechasse,Joseph-Edmond Roy
Joseph Berington,1776,Carlton,Joseph Berington
Josette Elayi,1943,Couserans,Josette Elayi
Joshua Barnes,1712,Hemingford,Joshua Barnes
François Furet,1997,Figeac,François Furet
Jules Gérard-Libois,1950,La Cité,Jules Gérard-Libois
Justin Vaïsse,2005,École normale supérieure de Saint-,Justin Vaïsse
Katell Berthelot,1993,HEC Paris,Katell Berthelot
Kevin Brown (historian),1961,Paddington,Kevin Brown (historian)
Stephen Henry Roberts,1927,Paddington,Stephen Henry Roberts
William Page (historian),1861,Paddington,William Page (historian)
Kevin Danaher,1946,the National University of Ireland,Kevin Danaher
Robert Dudley Edwards,1939,the National University of Ireland,Robert Dudley Edwards
Thomas Ebendorfer,1412,Haselbach,Thomas Ebendorfer
Thomas Ebendorfer,1423,Perchtoldsdorf,Thomas Ebendorfer
Charles Merivale,1829,Henley,Charles Merivale
Charles Merivale,1839,Whitehall,Charles Merivale
Charles Merivale,1848,Lawford,Charles Merivale
Gayle Thornbrough,1932,Indianapolis,Gayle Thornbrough
Anthony J. Bryant,2013,Indianapolis,Anthony J. Bryant
Donald Davidson (historian),1964,Indianapolis,Donald Davidson (historian)
Emma Lou Thornbrough,1913,Indianapolis,Emma Lou Thornbrough
Emma Lou Thornbrough,1946,Indianapolis,Emma Lou Thornbrough
Jacob Piatt Dunn,1879,Indianapolis,Jacob Piatt Dunn
Jacob Piatt Dunn,1891,Indianapolis,Jacob Piatt Dunn
Jacob Piatt Dunn,1874,Indianapolis,Jacob Piatt Dunn
Jacob Piatt Dunn,1884,Indianapolis,Jacob Piatt Dunn
Jacob Piatt Dunn,1886,Indianapolis,Jacob Piatt Dunn
John C. Rule,1952,Indianapolis,John C. Rule
Mary Ritter Beard,1876,Indianapolis,Mary Ritter Beard
Mary Ritter Beard,1893,Indianapolis,Mary Ritter Beard
Robert Winter,1924,Indianapolis,Robert Winter
Ronald L. Baker,1937,Indianapolis,Ronald L. Baker
Gayle Thornbrough,1937,Butler University,Gayle Thornbrough
Edward Ezell,1961,Butler University,Edward Ezell
Emma Lou Thornbrough,1934,Butler University,Emma Lou Thornbrough
Emma Lou Thornbrough,1946,Butler University,Emma Lou Thornbrough
Emma Lou Thornbrough,1965,Butler University,Emma Lou Thornbrough
Laurent Dailliez,1991,Ecole pratique des hautes études,Laurent Dailliez
Lisa Jardine,2015,Highgate Cemetery,Lisa Jardine
Oscar Browning,1880,Highgate Cemetery,Oscar Browning
Peter Brunt,1917,Coulsdon,Peter Brunt
Laonikos Chalkokondyles,1318,Mistra,Laonikos Chalkokondyles
Ryūsaku Tsunoda,1994,Waseda University,Ryūsaku Tsunoda
William Dodd (ambassador),1900,Ashland,William Dodd (ambassador)
Leonard Levy,1990,Ashland,Leonard Levy
Leonard Levy,2006,Ashland,Leonard Levy
Pius Bonifacius Gams,1816,Mittelbuch,Pius Bonifacius Gams
Sander Gilman,1963,Tulane University,Sander Gilman
Susan Schroeder,1999,Tulane University,Susan Schroeder
Charles L. Dufour,1978,Tulane University,Charles L. Dufour
Matthew Restall,2020,Tulane University,Matthew Restall
Tony Badger,2000,Tulane University,Tony Badger
Henry Charles Lea,1897,Oakbourne,Henry Charles Lea
Louis Chevalier (historian),1911,Vendée,Louis Chevalier (historian)
Louis Chevalier (historian),1932,ENS,Louis Chevalier (historian)
Robert Delort,1953,ENS,Robert Delort
Louis Diène Faye,1936,Joal,Louis Diène Faye
Louis Leschi,1932,Algiers,Louis Leschi
Stanley Karnow,1959,Algiers,Stanley Karnow
Louis Maynard,1930,Villeurbanne,Louis Maynard
Louis d'Ussieux,1744,Angoulême,Louis d'Ussieux
Philippe Leveau,1940,Angoulême,Philippe Leveau
Jan Długosz,1461,Bytom,Jan Długosz
Lucie Favier,1932,Fes,Lucie Favier
Abdellah Guennoun,1908,Fes,Abdellah Guennoun
Luigi Salvatorelli,1886,Marsciano,Luigi Salvatorelli
William Taubman,1962,the Bronx High School of Science,William Taubman
Crane Brinton,1968,Vietnam,Crane Brinton
Nguyễn Văn Huyên,1946,Vietnam,Nguyễn Văn Huyên
David Horner,1971,Vietnam,David Horner
Phan Đình Phùng,1941,Vietnam,Phan Đình Phùng
MacGregor Knox,1969,Vietnam,MacGregor Knox
Wallace Terry,1967,Vietnam,Wallace Terry
Wallace Terry,1972,Vietnam,Wallace Terry
Walter Edgar,1972,Vietnam,Walter Edgar
Alfonsas Eidintas,1952,Vaiguva,Alfonsas Eidintas
Léopold Genicot,1914,Forville,Léopold Genicot
M'hamed Hassine Fantar,1936,Ksar Hellal,M'hamed Hassine Fantar
M. C. Ricklefs,1993,Monash,M. C. Ricklefs
Sidney H. Chang,1945,Changsha,Sidney H. Chang
Ray Huang,1938,Changsha,Ray Huang
Sidney H. Chang,1950,Macau,Sidney H. Chang
Sidney H. Chang,1967,University of Wisconsin at Madison,Sidney H. Chang
Madeleine Scopello,1953,Turin,Madeleine Scopello
Nino Valeri,1962,Turin,Nino Valeri
Madeleine Scopello,2014,Université Paris-Sorbonne,Madeleine Scopello
Oskar Halecki,1950,Scarsdale,Oskar Halecki
Aleks Buda,1910,Elbasan,Aleks Buda
Manex Goihenetxe,1942,Ezterenzubi,Manex Goihenetxe
Manex Goihenetxe,1963,Roazhon,Manex Goihenetxe
Manex Goihenetxe,1981,Pau,Manex Goihenetxe
Manex Goihenetxe,2004,Biscau,Manex Goihenetxe
Rashid al-Din Hamadani,1247,Hamadan Province,Rashid al-Din Hamadani
Marc Lazar,1952,the Doctoral School,Marc Lazar
Marc Lazar,1999,University Paris X,Marc Lazar
Marcel Poëte,1866,Rougemont,Marcel Poëte
Marcel Trudel,1947,Laval,Marcel Trudel
Maria Adriana Prolo,1908,Romagnano Sesia,Maria Adriana Prolo
Maria Dzielska,1996,Jagiellonian University,Maria Dzielska
Emanuel Rostworowski,1923,Jagiellonian University,Emanuel Rostworowski
Julian Kwiek,1988,Jagiellonian University,Julian Kwiek
Peter Brock (historian),1950,Jagiellonian University,Peter Brock (historian)
Marianne Debouzy,1956,the University of Lille,Marianne Debouzy
Mario Turchetti,1944,Taormina,Mario Turchetti
Mario Turchetti,1993,the University of Fribourg,Mario Turchetti
Pierre Mandonnet,1891,the University of Fribourg,Pierre Mandonnet
Jarl Gallén,1947,the University of Fribourg,Jarl Gallén
Jules Isaac,1943,Riom,Jules Isaac
Masatake Okumiya,1936,Ōmura,Masatake Okumiya
Masatake Okumiya,1957,Utsunomiya,Masatake Okumiya
Abraham Harkavy,1835,Navahrudak,Abraham Harkavy
Max Lagarrigue,1972,Castelsarrasin,Max Lagarrigue
Joaquim Veríssimo Serrão,1925,Tremês,Joaquim Veríssimo Serrão
Joaquim Veríssimo Serrão,2020,Tremês,Joaquim Veríssimo Serrão
Michel Christol,1983,the University of Paris-I,Michel Christol
Michel Kaplan,1946,Pantheon-Sorbonne University,Michel Kaplan
Horatio B. Cushman,1904,Greenville,Horatio B. Cushman
Mary Simms Oliphant,1927,Greenville,Mary Simms Oliphant
Fernando Picó,1941,Santurce,Fernando Picó
Elliott Castro,1949,Santurce,Elliott Castro
Fernando Picó,1954,the Colegio San Ignacio de Loyola,Fernando Picó
Fernando Picó,1959,the Saint Andrew-on-Hudson,Fernando Picó
Fernando Picó,2017,Cupey,Fernando Picó
Michel Rouche,1959,Compiègne,Michel Rouche
Michel Vergé-Franceschi,1951,Toulon,Michel Vergé-Franceschi
Hugh Nibley,1942,Claremont Colleges,Hugh Nibley
Hugh Nibley,1917,Medford,Hugh Nibley
Oliver Waterman Larkin,1896,Medford,Oliver Waterman Larkin
Oliver Waterman Larkin,1914,Medford,Oliver Waterman Larkin
Olive Dame Campbell,1882,Medford,Olive Dame Campbell
Hugh Nibley,1921,Alta Loma Middle School,Hugh Nibley
Hugh Nibley,1927,Los Angeles High School,Hugh Nibley
Hugh Nibley,1929,LDS,Hugh Nibley
Reed C. Durham,1959,LDS,Reed C. Durham
Richard E. Turley Jr.,1975,LDS,Richard E. Turley Jr.
Hugh Nibley,1944,Hyde Park Corner,Hugh Nibley
Hugh Nibley,1945,Hurricane,Hugh Nibley
Anders Sørensen Vedel,1561,Ribe,Anders Sørensen Vedel
Anders Sørensen Vedel,1584,Ribe,Anders Sørensen Vedel
Anders Sørensen Vedel,1616,Ribe,Anders Sørensen Vedel
Anders Sørensen Vedel,1573,Ribe Cathedral,Anders Sørensen Vedel
Charles Bigelow (type designer),2010,RIT,Charles Bigelow (type designer)
Charles Bigelow (type designer),2012,RIT,Charles Bigelow (type designer)
Absalon Pederssøn Beyer,1566,Bergenhus,Absalon Pederssøn Beyer
Mary E. Daly,1969,UCD,Mary E. Daly
Mary E. Daly,1971,UCD,Mary E. Daly
Richard Aldous,2006,UCD,Richard Aldous
Dáibhí Ó Cróinín,1975,UCD,Dáibhí Ó Cróinín
Thomas Desmond Williams,1949,UCD,Thomas Desmond Williams
Tom Garvin,1991,UCD,Tom Garvin
José Ricardo Díaz Pardeiro,1944,Lugo,José Ricardo Díaz Pardeiro
Will Durant,1903,St. Peter's Preparatory School,Will Durant
Will Durant,1911,Seton Hall,Will Durant
Will Durant,1944,Carboneras,Will Durant
Alexander William Kinglake,1869,Bridgwater,Alexander William Kinglake
Nora Lafi,1965,Istres,Nora Lafi
Oleg Khlevniuk,1959,Vinnytsia,Oleg Khlevniuk
Oleg Sokolov,1991,St. Petersburg State University,Oleg Sokolov
Oleg Sokolov,2019,St. Petersburg State University,Oleg Sokolov
Olivier Chaline,1964,Central Europe,Olivier Chaline
Olivier Guyotjeannin,1959,Suresnes,Olivier Guyotjeannin
Robert Skidelsky,1953,Brighton College,Robert Skidelsky
Charles Bigg,1871,Brighton College,Charles Bigg
Judith Maltby,1987,Salisbury,Judith Maltby
Arthur Bryant,1985,Salisbury,Arthur Bryant
David John Anthony Stone,2002,Salisbury,David John Anthony Stone
John McCracken (historian),1964,Salisbury,John McCracken (historian)
Kim Voss,1974,Salisbury,Kim Voss
Edvard Bull Sr.,1899,the University of Kristiania,Edvard Bull Sr.
Edvard Bull Sr.,1910,the University of Kristiania,Edvard Bull Sr.
Thormodus Torfæus,1636,Engey,Thormodus Torfæus
Thormodus Torfæus,1719,Stangeland,Thormodus Torfæus
Oric Bates,1918,Louisville,Oric Bates
Edward J. Balleisen,1987,Louisville,Edward J. Balleisen
Garland E. Allen,1936,Louisville,Garland E. Allen
Ralph Luker,1962,Louisville,Ralph Luker
Sima Guang,1071,Luoyang,Sima Guang
George Lindbeck,1923,Luoyang,George Lindbeck
Oscar Brockett,1980,the College of Fine Arts,Oscar Brockett
Harvey Young,2018,the College of Fine Arts,Harvey Young
Pap Ndiaye,1991,DuPont,Pap Ndiaye
Keijo Virtanen,1945,Naantali,Keijo Virtanen
Keijo Virtanen,1990,the University of Turku,Keijo Virtanen
Asa Briggs,1893,Haworth,Asa Briggs
Asa Briggs,2016,Lewes,Asa Briggs
Patrice Brun (historian),1953,Pessac,Patrice Brun (historian)
Patrick Fleming (Franciscan),1612,Flanders,Patrick Fleming (Franciscan)
Paul Murray Kendall,1928,Frankford High School,Paul Murray Kendall
Paul Murray Kendall,1947,Ohio University,Paul Murray Kendall
Paul Murray Kendall,1970,Ohio University,Paul Murray Kendall
George C. Herring,1965,Ohio University,George C. Herring
Tom D. Crouch,1966,Ohio University,Tom D. Crouch
Paul Raymond (archivist),1833,Belleville,Paul Raymond (archivist)
Betsy Dewar Boyce,2007,Belleville,Betsy Dewar Boyce
Paul Rycaut,1650,Aylesford,Paul Rycaut
Paul de Rapin,1699,Sloterdijk,Paul de Rapin
Sverker Sörlin,1956,Åsele,Sverker Sörlin
Sverker Sörlin,1988,Umeå University,Sverker Sörlin
Edward Duyker,1981,Dandenong,Edward Duyker
Phan Huy Lê,1934,the Hanoi National University,Phan Huy Lê
Raphael Samuel,1962,the University of East London,Raphael Samuel
Raphael Samuel,1958,Soho,Raphael Samuel
A. L. Morton,1987,Suffolk,A. L. Morton
Ralph Adimari,1970,Suffolk,Ralph Adimari
Philippe A. Autexier,1991,Cahors,Philippe A. Autexier
Philippe Levillain,1975,Paris Nanterre University,Philippe Levillain
Philippe Levillain,1972,Paris Nanterre University,Philippe Levillain
Raphaëlle Branche,1972,Paris Nanterre University,Raphaëlle Branche
Henry Rousso,2001,Paris Nanterre University,Henry Rousso
Phyllis Ackerman,1917,U.C. Berkeley,Phyllis Ackerman
Willa Baum,1860,U.C. Berkeley,Willa Baum
Phyllis Ackerman,1926,the Pennsylvania Museum of Art,Phyllis Ackerman
Phyllis Ackerman,1977,Shiraz,Phyllis Ackerman
Abdollah Shahbazi,1955,Shiraz,Abdollah Shahbazi
Pierre Laborie,1936,"Bagnac-sur-Célé, Lot",Pierre Laborie
Pierre Laborie,1978,Lot,Pierre Laborie
Pierre Mandonnet,1936,Le Saulchoir,Pierre Mandonnet
Placide Gaudet,1899,Prince Edward Island,Placide Gaudet
Majikina Ankō,1891,Okinawa Middle School,Majikina Ankō
Pat Southern,1948,Altrincham,Pat Southern
Ron Crocombe,1950,Rarotonga,Ron Crocombe
Ron Crocombe,1961,Rarotonga,Ron Crocombe
Ron Crocombe,2010,Rarotonga,Ron Crocombe
Ron Crocombe,1957,Atiu,Ron Crocombe
Glanmor Williams,2005,Swansea,Glanmor Williams
John Callender (clergyman),1730,Swansea,John Callender (clergyman)
Maurice Cowling,1996,Swansea,Maurice Cowling
Maurice Cowling,2005,Swansea,Maurice Cowling
David K. Wyatt,1937,Fitchburg,David K. Wyatt
Thomas Stephens (historian),1821,Glamorganshire,Thomas Stephens (historian)
Thomas Stephens (historian),1875,Merthy Tydfil,Thomas Stephens (historian)
Angelo Fabroni,1750,Faenza,Angelo Fabroni
Angelo Fabroni,1767,Tuscany,Angelo Fabroni
Angelo Fabroni,1773,Tuscany,Angelo Fabroni
Petruccio Ubaldini,1524,Tuscany,Petruccio Ubaldini
Angelo Fabroni,1771,Pisa,Angelo Fabroni
Arsenio Frugoni,1938,Pisa,Arsenio Frugoni
Arsenio Frugoni,1954,Pisa,Arsenio Frugoni
